"","Company","URL","HQ","VC","CNCI","Description","Rating","",""
"","41st Parameter","www.the41st.com","Scottsdale, AZ","KPCB","SCM, Deter","The 41st Parameter is revolutionizing the way businesses think about - and employ - effective Internet security. We specialize in providing expert solutions for identifying and preventing online Internet fraud for online merchants and banks. Using our advanced Internet fraud prevention solutions, we help protect online businesses against fraud threats with expertise and technology that can identify legitimate versus suspect devices with unprecedented accuracy.","2","",""
"","AccessData","www.accessdata.com","Lindon, UT","","","AccessData has been the choice of leading law enforcement agencies and those in the corporate industry since its inception in 1987. With its origins firmly rooted in password recovery and code breaking the company has a hard earned reputation for quality, value and superior customer support and dialogue. With accessible and efficient tools such as Forensic Toolkit, AccessData has provided investigators with an accessibility of digital evidence that is unique in the field of computer forensic tools. It is this commitment to advancement and excellence that has made AccessData's tools a necessity for law enforcement agencies, corporate America and federal government.","3","",""
"","Airtight Networks","www.airtightnetworks.net","Moutain View, CA","Granite VC","Intrusion Prevention","AirTight® Networks enables enterprises and service providers to maintain network and mobile client integrity from wireless security vulnerabilities whether or not they deploy a wireless network. AirTight Networks offers the industry's first wireless IPS (WIPS) that delivers around-the-clock wireless monitoring and automatic intrusion prevention as well as manages wireless network","3","",""
"","Akonix","www.akonix.com","San Diego, CA","Menlo","IPS/Counter Intelligence","provider of enterprise-class security appliances that help companies secure, manage and extend the use of instant messaging and other real-time communication technologies","2","","Recheck"
"","Altor Networks","www.altornetworks.com","Redwood City. CA","Accel, Foundation","","Altor Networks is pioneering a new class of virtual security solutions to secure production-oriented virtualized data centers. The company’s initial product line includes the industry’s first-ever purpose-built virtual firewall, a software security appliance that runs in a virtualized environment and enforces security policy on a per virtual machine basis. Data center administrators can now pinpoint a broad range of virtual network security compromises and easily create roles-based security policies. For the first time, security policies can be continuously enforced on individual virtual machines, even as they move throughout the virtualized data center","1","",""
"","Arcot","www.arcot.com","Sunnyvale, CA","SEB VC, Granite, GS, Accel, Vedata","","Arcot is a leader in protecting and verifying digital identities. Financial institutions, pharmaceutical companies, and eShopping sites rely on the company's software-only solutions to prevent online fraud and identity theft.","1","",""
"","ArcSight","www.arcsight.com","Cupertino, CA","","Situational Awareness","ArcSight is a leading provider of security and compliance management solutions that intelligently identify and mitigate business risk for enterprises, MSSPs and government agencies. Designed with the needs of highly complex, geographically dispersed and heterogeneous business and technology infrastructures in mind, ArcSight provides the industry’s only vendor-neutral solution for intelligent identification, prioritization and network response to external security attacks, insider threats and compliance breaches","2","",""
"X","Authentify","www.authentify.com","","","","","","",""
"","Authernative","www.authernative","Redwood City. CA","Interesting company, very good advisory team:  Rosati & former CEO of Peoplesoft","Deter, SA, SCM","Authernative’s granted and pending U.S. and International patents in the area of private and secure financial transactions, authentication algorithms, protocols, and encryption schemes are the foundation for the company technology and commercial product offerings. Authernative is providing integrated security solutions for identity management, strong authentication to access network resources, and efficient authorization, administration and auditing control.","3","",""
"","Big Fix","www.bigfix.com","Emeryville, CA","Meritech","SCM, Deter, SA","Founded in 1997, and headquartered in Emeryville, California, BigFix, Inc. offers the IT industry’s only intelligent enforcement engine that enables real-time visibility and control of globally distributed desktop, mobile and server computer infrastructures. Built on a revolutionary technology platform, BigFix continually assesses and manages the health and security of enterprise computing devices at the velocity of change.","4","",""
"","Bit 9","www.bit9.com","Cambridge, MA","KPCB","Situational Awareness","Bit9, Inc. is the leading provider of application control and device control solutions to achieve flexible Windows desktop lockdown and business-friendly whitelisting. Our cornerstone application control and device control product, Parity, is the only solution to detect, identify, and approve or ban applications -- without relying on malware signatures or behavioral patterns.","3","",""
"","Blazent","www.blazent.com","San Mateo, CA","Benchmark","","Blazent delivers IT Intelligence that helps global ITO’s obtain a business-oriented perspective of the assets they are managing. First, with proven integration and cleansing technologies, Blazent delivers a reliable data set that can be tapped with confidence. Then, with that data set, Blazent delivers the advanced analytics that provides the insight ITO’s need to gain control of the IT assets under management, improve decision making, increase profitability and drive new revenue generating opportunities","2","",""
"","CarrierIQ","www.carrieriq.com","Mountain View, CA","MDV","CI/SCM","Carrier IQ provides embedded analytics to the wireless industry. The company embeds diagnostic agents within mobile devices supplying carriers and handset manufacturers unprecedented analysis and insight into their customers and their business. Founded in 2005.","4","",""
"","Cenzic","www.cenzic.com","Santa clara, CA","ATV, Hummer, JK&B, MDV","","June 2000 in Santa Clara, California to help secure networks and Web applications against hacker attacks. However, in 2002 the company decided to focus solely on Web applications. After successfully competing against other first-generation Web scanners, Cenzic decided to completely re-start its product development efforts and build a brand new technology backbone from the ground up. This effort began in 2003 and in February 2006, Cenzic debuted its “next generation” product architecture that is a truly unique technology (we’ve termed as “Stateful Assessment™), rendering more accurate results than any other Web scanner vendor in the market. We consider ourselves the Google of the security industry – ahead of all others","4","",""
"","Clearwell Systems","www.clearwellsystems.com","Mountain View, CA","Sequoia","","Clearwell Systems is changing the way companies perform electronic discovery (e-discovery) in response to litigation, regulatory inquiries, and internal investigations.","","",""
"","Cloud Shield","www.cloudshield.com","Santa clara, CA","Paladin, TPG etc","Intrusion Detection","As Carriers transform their networks to Converged IP Infrastructures, and as the United States Federal Government transforms to Network Centric Operations, gaps and barriers that impede the transformation are emerging. CloudShield systems bridge the gaps and break down the barriers, enabling service providers to implement more profitable and secure networks and services, and enabling the US Federal Government network operators to implement more efficient and more secure communications solutions.","2","",""
"","Code Green","www.codegreennetworks.com","Santa Clara, CA","Sierra","InfoSec","Like Oakley Networks                      Code Green Networks is a leader in delivering data loss prevention solutions that enable organizations around the world to protect confidential customer data and safeguard intellectual property.

Leading the Next Generation of Data Protection
Organizations today are increasingly challenged in protecting customer data and safeguarding intellectual property from internal malicious use and accidental mishandling. Unauthorized disclosure of confidential information can result in loss of revenue, financial penalties and irreparable damage to an organization’s image, brand and customer loyalty. 
In addition, government regulations and guidelines require businesses to strictly monitor their confidential information and report confidential data leaks. Since corporations are mandated to report confidential data leaks, one cannot read the global news without seeing articles outlining how a sensitive data leak caused substantial corporate financial losses and directly affected the general consumer.","3","",""
"","Codenomicon","www.codenomicon.com","Oulu, Finland","","","Codenomicon produces state-of-the-art blackbox, negative testing solutions for improving the quality of software implementation. Codenomicon leverages its in-depth understanding of infrastructure, network and application protocols, flaws and test methodology to provide a simple yet unparalleled security and robustness assurance solution.F77","3","",""
"","Cogito","www.cogitoinc.com","","Utah Ventures","","The company is a pioneer in the development of Relationship Analytics, improving data structuring, modeling, definition and analysis. This smarter approach to data analytics gives organizations new insight into complex and distant relationships previously hidden within massive data stores.

By exploiting the power of Relationship Analytics, organizations as diverse as intelligence agencies, manufacturers and companies in life sciences can get a better handle on information and turn that understanding to their advantage.","4","",""
"","Core Security","www.coresecurity.com","Boston, MA","Pegasus, Morgan Stanely VP,","Deter","Automated Pen Testing","4","",""
"","Coverity","www.coverity.com","San Francisco, CA","Benchmark","SCM","Coverity, the leader in software integrity, is the trusted standard for companies that have a zero tolerance policy for software failures, problems, and security breaches. Coverity’s award-winning portfolio of software integrity products enables customers to prevent software problems throughout the application lifecycle. Over 100,000 developers and 500 companies including ARM, Phillips, RIM, Rockwell Collins, Samsung and UBS rely on Coverity to help them ensure the delivery of superior software. Coverity is a privately held company headquartered in San Francisco with offices in 6 countries and more than 150 employees.","2","",""
"","Credent","www.credant.com","","","","CREDANT Technologies enables its customers to leverage the business productivity benefits of highly mobile endpoint computing without the risks or operational constraints imposed by other technologies.","","",""
"","Cymphonix","www.cymphonix.com","Sandy, UT","vSpring","SCM","Cymphonix Corporation, (www.cymphonix.com) headquartered in Sandy, Utah, uses patent-pending Cross-Layer Intelligence™ (XLi™) technology to provide unmatched network threat protection and resource optimization. With the powerful XLi engine, Cymphonix products seamlessly integrate network protection, application performance, and traffic visibility into a single, easily managed solution. Leading the Cymphonix product line is Network Composer, a smart gateway appliance that helps organizations understand at a glance who is abusing network resources and with what applications – enabling problems to be corrected instantly through a clear, easy-to-manage interface.","4","",""
"","Deter Security","www.isi.edu/deter","Los Angeles, CA","","","The DETERlab testbed is a general-purpose experimental infrastructure that supports research and development on next-generation cyber security technologies. The testbed allows repeatable medium-scale Internet emulation experiments for a broad range of network security projects, including experiments with malicious code.","4","",""
"","devicescape","www.devicescape.com","San Bruno, CA","KPCB","","A leading provider of advanced Wi-Fi software solutions that make mobile devices easy to set up, easy to use, and effortlessly connect to any Wi-Fi network.","","",""
"","eiQ networks","www.eiqnetworks.com","Acton, MA","","","Founded in 2001, eIQnetworks, Inc. is an industry-leading provider of integrated security, risk and audit management solutions that effectively meet security and compliance challenges. By combining enterprise security management (ESM) with IT governance, risk and compliance (GRC) onto a single platform, eIQnetworks enables Global 2000 enterprises, government agencies and managed security service providers (MSSPs) to drive efficiency and reduce complexity by proactively detecting security breaches, speeding remediation and managing evolving best practices and regulations.","2","",""
"","Finjan","www.finjan.com","San Jose, CA","Benchmark, Bessemer","","Finjan is a leading provider of secure web gateway solutions for the enterprise market. Finjan’s solutions protect more than 1.5 million users in more than a thousand corporations worldwide","2","",""
"","Finsphere","www.finsphere.com","Belleview, WA","MDV","","Finsphere's Mobile Identity Protection (MIP) platform is built on the fact that cardholders rarely leave home without their mobile phones. And with over 3.1 billion mobile phones in use, and some of the largest networks in the world supporting them, Finsphere delivers a pervasive means to detect and stop fraud.","2","",""
"","Fire Eye","www.fireeye.com","Menlo Park, CA","Sequoia Capital, Norwest Partner","IPS, Deter","FireEye provides the only global, anti-botnet protection system to combat botnets and targeted malware. FireEye protects customers against botnets to prevent data and intellectual property and company resources from being compromised, stolen, or accidentally leaked as a result of unauthorized remote control of PCs and servers. Our solutions bring advanced network security together with state-of-the-art virtualization technology to combat targeted malware as well as its criminal attack vector of choice—botnets.","4","",""
